model_type,dataset_type,learning_rate,momentum,kernel_size,accuracy_mean,standard_deviation
ModelTypes.Standard,DatasetTypes.Standard,0.01,0.9,2,0.46442687747035577,0.14548998537149221
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.01,0.9,2,0.5612648221343873,0.10062374795433236
ModelTypes.Standard,DatasetTypes.Standard,0.01,0.9,3,0.5086956521739131,0.08027316701892737
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.01,0.9,3,0.5363636363636364,0.05346352069220844
ModelTypes.Standard,DatasetTypes.Standard,0.01,0.9,5,0.507905138339921,0.11127728291136985
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.01,0.9,5,0.5624505928853755,0.08301900861002826
ModelTypes.Standard,DatasetTypes.Standard,0.01,0.5,2,0.509090909090909,0.08920555452518923
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.01,0.5,2,0.5094861660079052,0.1126475279085515
ModelTypes.Standard,DatasetTypes.Standard,0.01,0.5,3,0.5624505928853755,0.10098485487714923
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.01,0.5,3,0.5624505928853755,0.064277573793952
ModelTypes.Standard,DatasetTypes.Standard,0.01,0.5,5,0.5798418972332016,0.07421573580416498
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.01,0.5,5,0.508300395256917,0.08809353656052064
ModelTypes.Standard,DatasetTypes.Standard,0.001,0.9,2,0.5359683794466403,0.09457631656193635
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.001,0.9,2,0.5624505928853754,0.07238275504986305
ModelTypes.Standard,DatasetTypes.Standard,0.001,0.9,3,0.5351778656126482,0.0624630997632942
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.001,0.9,3,0.5438735177865612,0.09040416574518835
ModelTypes.Standard,DatasetTypes.Standard,0.001,0.9,5,0.5189723320158103,0.14289835879325027
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.001,0.9,5,0.507905138339921,0.07409354215735243
ModelTypes.Standard,DatasetTypes.Standard,0.001,0.5,2,0.5636363636363637,0.15956536914952332
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.001,0.5,2,0.5624505928853755,0.05749052280024257
ModelTypes.Standard,DatasetTypes.Standard,0.001,0.5,3,0.5600790513833992,0.12583579877200873
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.001,0.5,3,0.5628458498023715,0.047189769503517644
ModelTypes.Standard,DatasetTypes.Standard,0.001,0.5,5,0.5636363636363636,0.06838515820693858
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard,0.001,0.5,5,0.5600790513833992,0.12222069938395375
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.01,0.9,2,0.5347826086956522,0.08825477145899044
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.01,0.9,2,0.5624505928853755,0.04397133275944152
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.01,0.9,3,0.4901185770750988,0.09687423696795525
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.01,0.9,3,0.5616600790513834,0.05773186989230752
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.01,0.9,5,0.5379446640316206,0.12579109600603014
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.01,0.9,5,0.5616600790513834,0.06449352744465184
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.01,0.5,2,0.5272727272727272,0.06317189889014085
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.01,0.5,2,0.5533596837944664,0.114173844900432
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.01,0.5,3,0.4391304347826087,0.1148450923692179
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.01,0.5,3,0.5185770750988142,0.08287775085043608
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.01,0.5,5,0.48142292490118577,0.051635138882095935
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.01,0.5,5,0.5790513833992095,0.09229058575618193
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.001,0.9,2,0.5802371541501976,0.13756190030038928
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.001,0.9,2,0.5620553359683794,0.1133953450227858
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.001,0.9,3,0.525691699604743,0.06796810178245619
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.001,0.9,3,0.5636363636363636,0.08043648209836991
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.001,0.9,5,0.5347826086956522,0.0825945105736271
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.001,0.9,5,0.5628458498023715,0.02673176034610424
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.001,0.5,2,0.47351778656126486,0.07938270488937985
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.001,0.5,2,0.5624505928853755,0.04397133275944152
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.001,0.5,3,0.5636363636363636,0.08043648209836991
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.001,0.5,3,0.5632411067193676,0.10214160695980093
ModelTypes.Standard,DatasetTypes.Standard_PreTraining,0.001,0.5,5,0.5624505928853755,0.05186156353156277
ModelTypes.Standard_With_Augmentation,DatasetTypes.Standard_PreTraining,0.001,0.5,5,0.5628458498023715,0.09475784833521127
ModelTypes.Standard,DatasetTypes.Component,0.01,0.9,2,0.5537549407114624,0.04524612813044803
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.01,0.9,2,0.5711462450592885,0.05449674172402896
ModelTypes.Standard,DatasetTypes.Component,0.01,0.9,3,0.5782608695652174,0.10377733618639705
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.01,0.9,3,0.5458498023715415,0.1033307723378085
ModelTypes.Standard,DatasetTypes.Component,0.01,0.9,5,0.6351778656126482,0.12839828324201227
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.01,0.9,5,0.5620553359683794,0.0888809686428215
ModelTypes.Standard,DatasetTypes.Component,0.01,0.5,2,0.5533596837944664,0.08145553665957193
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.01,0.5,2,0.5616600790513834,0.05773186989230752
ModelTypes.Standard,DatasetTypes.Component,0.01,0.5,3,0.5624505928853755,0.10466176274961012
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.01,0.5,3,0.5351778656126481,0.09224317562570639
ModelTypes.Standard,DatasetTypes.Component,0.01,0.5,5,0.5624505928853755,0.03327208775610271
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.01,0.5,5,0.5541501976284585,0.08821050551808993
ModelTypes.Standard,DatasetTypes.Component,0.001,0.9,2,0.5355731225296443,0.061741104157364855
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.001,0.9,2,0.5632411067193676,0.06620995796673006
ModelTypes.Standard,DatasetTypes.Component,0.001,0.9,3,0.5541501976284584,0.06543382460205757
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.001,0.9,3,0.5450592885375494,0.11049110014011791
ModelTypes.Standard,DatasetTypes.Component,0.001,0.9,5,0.5446640316205533,0.04125846118798385
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.001,0.9,5,0.5533596837944664,0.1340789299701883
ModelTypes.Standard,DatasetTypes.Component,0.001,0.5,2,0.516600790513834,0.07264129649113134
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.001,0.5,2,0.5608695652173913,0.09807948177827566
ModelTypes.Standard,DatasetTypes.Component,0.001,0.5,3,0.5624505928853755,0.03327208775610271
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.001,0.5,3,0.5632411067193676,0.11721217085395781
ModelTypes.Standard,DatasetTypes.Component,0.001,0.5,5,0.5624505928853755,0.10974769352601244
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component,0.001,0.5,5,0.5620553359683794,0.03780028526800075
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.01,0.9,2,0.5624505928853755,0.0841776606251869
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.01,0.9,2,0.5,0.11210952255875758
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.01,0.9,3,0.5719367588932806,0.03943863931467644
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.01,0.9,3,0.5537549407114624,0.0619734612569791
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.01,0.9,5,0.5893280632411068,0.08735446135418738
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.01,0.9,5,0.5624505928853756,0.10466176274961013
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.01,0.5,2,0.5905138339920948,0.08036847447992941
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.01,0.5,2,0.6154150197628458,0.15299863779783143
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.01,0.5,3,0.5458498023715415,0.10888162315742034
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.01,0.5,3,0.5893280632411066,0.06468702781179062
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.01,0.5,5,0.5272727272727272,0.10491372482255172
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.01,0.5,5,0.5189723320158104,0.1276233111184858
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.001,0.9,2,0.5810276679841897,0.03747652590081759
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.001,0.9,2,0.5260869565217392,0.07129321666269794
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.001,0.9,3,0.4932806324110672,0.1103651875400774
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.001,0.9,3,0.5268774703557313,0.08138454139605882
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.001,0.9,5,0.5094861660079052,0.09586426686833709
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.001,0.9,5,0.5545454545454545,0.07851199378931312
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.001,0.5,2,0.5359683794466402,0.04144358776195448
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.001,0.5,2,0.5628458498023715,0.04865675259596577
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.001,0.5,3,0.5612648221343873,0.07741386986463299
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.001,0.5,3,0.5628458498023715,0.10302794426637232
ModelTypes.Standard,DatasetTypes.Component_PreTraining,0.001,0.5,5,0.5632411067193676,0.11509376481996213
ModelTypes.Standard_With_Augmentation,DatasetTypes.Component_PreTraining,0.001,0.5,5,0.5624505928853755,0.06589775666835551
